Country,Month,Total Passengers
United Kingdom,06/01/2021,169607
Panama,06/01/2021,228568
Japan,06/01/2021,71990
Chile,06/01/2021,13210
Germany,06/01/2021,250995
United Arab Emirates,06/01/2021,97679
Iceland,06/01/2021,56189
New Zealand,06/01/2021,2641
South Korea,06/01/2021,87492
Spain,06/01/2021,62559
Brazil,06/01/2021,65054
Italy,06/01/2021,57016
Argentina,06/01/2021,48390
Peru,06/01/2021,121092
Costa Rica,06/01/2021,254195
Australia,06/01/2021,6602
Switzerland,06/01/2021,33125
Turkey,06/01/2021,174482
Philippines,06/01/2021,18325
Israel,06/01/2021,112887
Belgium,06/01/2021,28914
Haiti,06/01/2021,54967
Denmark,06/01/2021,13194
Ireland,06/01/2021,18723
Guatemala,06/01/2021,139553
Ecuador,06/01/2021,106288
Bahamas,06/01/2021,185670
Honduras,06/01/2021,109275
Colombia,06/01/2021,394745
Antilles,06/01/2021,69655
Trinidad and Tobago,06/01/2021,601
El Salvador,06/01/2021,204554
Jamaica,06/01/2021,332821
Mexico,06/01/2021,3063676
Aruba,06/01/2021,150320
Atlantic Ocean,06/01/2021,26341
Canada,06/01/2021,107281
Netherlands,06/01/2021,137561
Taiwan,06/01/2021,24293
China,06/01/2021,14480
Dominican Republic,06/01/2021,746958
Cayman Islands,06/01/2021,2469
Hong Kong,06/01/2021,7780
France,06/01/2021,248426
Israel,05/01/2021,61923
Denmark,05/01/2021,5516
Australia,05/01/2021,5798
Guatemala,05/01/2021,121842
Belgium,05/01/2021,18472
Iceland,05/01/2021,16189
Cayman Islands,05/01/2021,2144
China,05/01/2021,13106
New Zealand,05/01/2021,2160
Taiwan,05/01/2021,20147
Trinidad and Tobago,05/01/2021,330
Chile,05/01/2021,8446
Germany,05/01/2021,142038
Panama,05/01/2021,177341
Antilles,05/01/2021,49032
Hong Kong,05/01/2021,3244
South Korea,05/01/2021,71234
Philippines,05/01/2021,14943
Turkey,05/01/2021,126350
United Kingdom,05/01/2021,77197
Argentina,05/01/2021,34986
Italy,05/01/2021,20585
Japan,05/01/2021,53112
France,05/01/2021,72598
Costa Rica,05/01/2021,212719
Aruba,05/01/2021,125338
Peru,05/01/2021,115724
Atlantic Ocean,05/01/2021,15466
Spain,05/01/2021,21002
Ecuador,05/01/2021,93376
Canada,05/01/2021,73944
Brazil,05/01/2021,46960
United Arab Emirates,05/01/2021,69986
Honduras,05/01/2021,100785
Mexico,05/01/2021,2774755
Haiti,05/01/2021,47447
Jamaica,05/01/2021,254759
Dominican Republic,05/01/2021,635691
Switzerland,05/01/2021,16732
Colombia,05/01/2021,321302
Netherlands,05/01/2021,79774
El Salvador,05/01/2021,154841
Ireland,05/01/2021,9267
Bahamas,05/01/2021,134518
Dominican Republic,04/01/2021,569938
Belgium,04/01/2021,14859
Philippines,04/01/2021,9213
Israel,04/01/2021,55259
Cayman Islands,04/01/2021,1662
Trinidad and Tobago,04/01/2021,778
Australia,04/01/2021,4935
Taiwan,04/01/2021,17264
Aruba,04/01/2021,112169
Atlantic Ocean,04/01/2021,7992
Bahamas,04/01/2021,102680
Netherlands,04/01/2021,51652
Germany,04/01/2021,94226
Brazil,04/01/2021,29886
Japan,04/01/2021,39756
France,04/01/2021,51537
Argentina,04/01/2021,27112
Italy,04/01/2021,9691
Mexico,04/01/2021,2188551
El Salvador,04/01/2021,126571
China,04/01/2021,11398
Ireland,04/01/2021,6242
South Korea,04/01/2021,43978
Hong Kong,04/01/2021,2257
Honduras,04/01/2021,76754
Guatemala,04/01/2021,91309
Colombia,04/01/2021,219476
Canada,04/01/2021,66298
Haiti,04/01/2021,44757
Jamaica,04/01/2021,188408
Ecuador,04/01/2021,68262
United Arab Emirates,04/01/2021,74014
Iceland,04/01/2021,1552
New Zealand,04/01/2021,2160
Spain,04/01/2021,13259
Switzerland,04/01/2021,10243
Denmark,04/01/2021,3196
Antilles,04/01/2021,37781
